股票代码,股票名称,所属行业,PE(动),总市值,基本每股收益(元),每股净资产(元),每股经营现金流(元),每股公积金(元),总股本(万股),每股未分配利润(元),加权净资产收益率(%),毛利率(%),资产负债率(%),营业总收入同比增长(%),归属净利润同比增长(%),扣非净利润同比增长(%),预告类型,预告日期,变动范围,score
300033,同花顺,软件服务,29.74,360.3,2.25,4.5933,1.5781,0.6636,53760.0,2.5145,49.61,91.8,27.6,20.23,26.57,15.24,,,,22
300439,美康生物,医疗行业,50.45,96.08,0.42,4.0258,0.1487,1.5853,34762.7,1.5767,10.83,60.02,31.0,36.63,25.45,12.1,预升,2017-04-08,5%~25%,22
2074,国轩高科,输配电气,26.79,276.2,1.1747,4.5142,1.4549,1.4881,87760.0,2.1893,29.86,46.93,61.23,73.3,76.35,74.19,,,,22
300048,合康新能,输配电气,33.36,64.16,0.23,3.1429,0.2024,1.4735,78728.67,0.5857,7.47,35.57,45.97,75.52,244.64,70.8,,,,22
300100,双林股份,汽车行业,33.27,107.9,0.82,6.359,0.8618,2.6489999999999996,39795.12,2.2968,14.35,27.95,52.94,33.63,34.27,34.78,预升,2017-04-07,5%~20%,22
2729,好利来,电子元件,282.32,56.68,0.06,6.1132,0.1395,2.6746,6668.0,2.117,0.96,41.11,6.15,14.04,180.73,350.65,,,,22
526,紫光学大,文教休闲,0.0,35.21,-1.0259,0.4992,0.8966,0.6038,9619.51,-1.1924,-103.41,25.09,98.7,5113.78,0.0,0.0,预盈,2017-04-15,1084.25%~2068.5%,22
2271,东方雨虹,水泥建材,25.57,245.7,1.22,5.6357,0.6689,2.0082,88268.68,3.1477,23.17,42.63,43.7,31.98,40.97,52.51,,,,22
300366,创意信息,电子信息,256.74,98.28,0.1069,10.804,-0.3304,8.2684,26284.58,1.3793,1.0,37.31,18.14,60.42,0.0,0.0,预盈,2017-04-08,0,22
300456,耐威科技,航天航空,404.21,95.00,0.1026,7.212999999999999,-0.0508,4.917,18518.71,1.26,2.36,36.99,11.84,68.62,-14.66,15.48,预增,2017-04-10,720%~750%,22
300468,四方精创,软件服务,115.36,63.56,0.3961,7.8095,-0.2121,5.5793,10433.29,1.8412,5.26,51.71,14.76,16.41,17.72,17.41,预增,2017-04-08,55%~75%,22
600801,华新水泥,水泥建材,35.65,161.1,0.3,6.6739999999999995,2.0674,1.6759,149757.13,3.6032,4.61,26.28,58.53,1.92,339.82,672.99,,,,22
300031,宝通科技,软件服务,63.01,88.68,0.092,5.4579,0.1053,3.0869,39676.79,1.2165,1.49,47.84,22.79,70.49,75.97,77.03,,,,22
300246,宝莱特,医疗行业,69.12,47.11,0.46,3.1793,0.3478,0.6247,14608.8,1.3796,14.66,40.49,26.55,56.19,180.71,279.74,,,,22
672,上峰水泥,水泥建材,94.76,103.4,0.1,1.7008,0.1498,-1.2718,81361.99,1.6687,6.06,18.37,71.95,36.23,1010.25,0.0,预盈,2017-04-15,360.41%~392.96%,22
603585,苏利股份,化工行业,43.71,76.00,2.4,13.4464,2.3684,7.7029,10000.0,4.224,27.11,33.48,13.7,20.28,56.87,57.66,,,,22
603906,龙蟠科技,化工行业,0.0,0,0.4308,5.247999999999999,0.5095,3.136,20800.0,1.0277,14.9,36.4,36.71,26.26,55.18,43.58,预增,2017-04-15,60%~75%,22
300566,激智科技,电子元件,102.52,60.46,0.14,8.5096,-0.3704,5.2092,8292.2,2.0919,1.83,30.97,49.19,26.84,37.09,71.57,预升,2017-04-10,20%~40%,22
300457,赢合科技,电子元件,66.23,82.04,0.31,8.9121,-0.4584,4.9958,12396.23,2.6871,4.81,32.85,59.05,96.96,73.71,57.76,,,,22
603816,顾家家居,木业家具,37.21,214.0,1.67,8.3333,2.3627,4.8048,41250.0,1.9824,37.25,40.44,33.92,30.11,15.4,15.06,,,,21
2589,瑞康医药,医药制造,50.87,252.6,1.005,10.5096,-2.6888,7.4575,65422.19,1.9506,13.02,15.67,52.08,60.19,150.39,151.83,,,,21
600636,三爱富,化工行业,0.0,61.95,0.0852,5.6328,0.1848,3.3542,44694.19,1.0833,1.53,12.96,29.09,29.66,345.59,921.46,,,,21
300238,冠昊生物,医疗行业,126.07,82.41,0.04,5.2641,0.0026,3.1137,26575.38,1.0288,0.84,71.35,10.01,76.9,41.11,45.13,,,,21
300266,兴源环境,环保工程,132.38,268.9,0.21,5.8665,-0.3621,3.7091,50856.02,1.0974,3.39,24.16,48.82,3.09,151.51,154.3,预增,2017-04-08,137%~162%,21
300275,梅安森,仪器仪表,0.0,46.07,0.1,3.1639999999999997,0.0544,1.4045,16753.6,0.6286,3.2,36.97,43.8,583.55,0.0,0.0,,,,21
300639,凯普生物,医药制造,0.0,0,0.8455,9.5749,0.9427,5.6025,9000.0,2.9008,16.88,85.67,13.38,15.51,16.69,13.53,,,,21
2175,东方网络,文化传媒,380.06,123.5,0.0422,1.9797,0.0248,0.6967,75377.82,0.2541,2.15,54.9,47.03,71.4,885.07,1622.36,,,,21
300530,达志科技,化工行业,99.14,44.50,0.17,7.0241,0.1197,2.8704,7000.0,2.8399,2.44,52.93,5.63,21.67,24.29,28.14,预升,2017-04-07,4.95%~25.94%,21
2182,云海金属,有色金属,40.57,63.38,0.5385,4.4134,0.3749,2.4421,32321.13,0.8909,13.24,15.02,58.94,30.05,461.79,533.04,,,,21
2503,搜于特,纺织服装,56.56,204.6,0.2316,3.346,-0.396,1.6161,156209.59,0.6368,12.54,17.69,27.4,218.93,86.47,92.69,,,,21
2171,楚江新材,有色金属,44.51,86.07,0.154,6.1026,-0.3531,3.9815,53460.4,1.0381,2.55,7.63,22.15,38.82,265.6,223.16,,,,21
