股票代码,股票名称,所属行业,PE(动),总市值
600582,天地科技,机械行业,47.24,229.7
600583,海油工程,石油行业,25.35,333.4
600584,长电科技,电子元件,250.2,199.2
600585,海螺水泥,水泥建材,13.23,1128
600586,金晶科技,玻璃陶瓷,126.73,71.92
600587,新华医疗,医疗行业,52.26,102.2
600588,用友网络,软件服务,137.75,271.9
600589,广东榕泰,化工行业,58.7,62.00
600590,泰豪科技,输配电气,116.79,104.8
600591,*ST上航,民航机场,0.0,0
600592,龙溪股份,机械行业,0.0,76.35
600593,大连圣亚,旅游酒店,36.24,33.45
600594,益佰制药,医药制造,37.72,146.0
600595,中孚实业,有色金属,169.05,98.05
600596,新安股份,农药兽药,0.0,68.05
600597,光明乳业,食品饮料,28.73,161.8
600598,北大荒,农牧饲渔,28.32,208.2
600599,熊猫金控,多元金融,0.0,46.26
600600,青岛啤酒,酿酒行业,18.89,463.4
600601,方正科技,电子信息,0.0,97.67
600602,云赛智联,电子信息,52.41,124.6
600603,大洲兴业,交运物流,39.06,96.42
600604,市北高新,房地产,81.16,177.5
600605,汇通能源,商业百货,129.76,32.21
600606,绿地控股,房地产,13.01,1027
600607,上实医药,医药制造,0.0,0
600608,*ST沪科,金属制品,0.0,44.07
600609,金杯汽车,汽车行业,0.0,88.29
600610,中毅达,园林工程,0.0,106.6
600611,大众交通,交运物流,25.66,148.5
600612,老凤祥,珠宝首饰,20.15,215.8
600613,神奇制药,医药制造,63.25,82.67
600614,鹏起科技,有色金属,269.92,247.5
600615,丰华股份,金属制品,388.15,35.93
600616,金枫酒业,酿酒行业,91.96,67.52
600617,国新能源,公用事业,24.09,119.0
600618,氯碱化工,化工行业,0.0,148.7
600619,海立股份,机械行业,145.28,105.9
600620,天宸股份,综合行业,170.34,102.5
600621,华鑫股份,房地产,48.29,74.47
600622,嘉宝集团,房地产,54.71,125.7
600623,华谊集团,化工行业,69.97,252.0
600624,复旦复华,综合行业,113.27,57.65
600625,PT水仙,-,0.0,0
600626,申达股份,国际贸易,39.93,81.46
600627,上电股份,-,0.0,0
600628,新世界,商业百货,153.54,84.09
600629,华建集团,工程建设,47.86,86.83
600630,龙头股份,纺织服装,68.15,63.94
600631,百联股份,商业百货,0.0,0
600632,华联商厦,-,0.0,0
600633,浙报传媒,文化传媒,41.34,252.8
600634,富控互动,软件服务,221.46,123.0
600635,大众公用,公用事业,33.01,192.2
600636,三爱富,化工行业,0.0,61.95
600637,东方明珠,文化传媒,23.56,606.0
600638,新黄浦,房地产,63.9,114.6
600639,浦东金桥,房地产,31.75,200.0
600640,号百控股,旅游酒店,481.71,159.5
600641,万业企业,房地产,15.16,108.9
600642,申能股份,电力行业,11.63,282.7
600643,爱建集团,多元金融,32.17,199.6
600644,乐山电力,电力行业,23.47,49.64
600645,中源协和,医药制造,1404.42,103.5
600646,ST国嘉,-,0.0,0
600647,同达创业,综合行业,47.93,47.71
600648,外高桥,房地产,27.73,230.4
600649,城投控股,房地产,24.56,514.5
600650,锦江投资,交运物流,53.32,126.4
600651,飞乐音响,电子元件,70.68,103.7
600652,游久游戏,电子信息,241.05,91.01
600653,申华控股,综合行业,0.0,73.77
600654,中安消,软件服务,60.92,223.6
600655,豫园商城,商业百货,34.28,164.1
600656,退市博元,综合行业,0.0,0
600657,信达地产,房地产,39.02,89.63
600658,电子城,房地产,65.25,111.6
600659,*ST花雕,-,0.0,0
600660,福耀玻璃,玻璃陶瓷,17.94,563.9
600661,新南洋,文教休闲,40.9,70.99
600662,强生控股,交运物流,62.65,109.8
600663,陆家嘴,房地产,29.33,776.9
600664,哈药股份,医药制造,25.15,198.2
600665,天地源,房地产,21.31,49.08
600666,奥瑞德,电子元件,47.97,223.2
600667,太极实业,电子元件,285.64,152.9
600668,尖峰集团,水泥建材,27.94,62.93
600669,*ST鞍成,-,0.0,0
600670,*ST斯达,-,0.0,0
600671,天目药业,医药制造,0.0,40.05
600672,*ST华圣,-,0.0,0
600673,东阳光科,有色金属,164.39,180.0
600674,川投能源,电力行业,10.66,398.0
600675,中华企业,房地产,21.19,138.9
600676,交运股份,汽车行业,29.28,90.10
600677,航天通信,航天航空,347.22,92.72
600678,四川金顶,水泥建材,0.0,50.60
600679,上海凤凰,文教休闲,297.44,136.3
600680,ST上普,通讯行业,0.0,104.5
600681,百川能源,公用事业,28.64,157.8
600682,南京新百,商业百货,0.0,402.3
600683,京投发展,房地产,50.69,66.45
600684,珠江实业,房地产,17.08,58.46
600685,中船防务,船舶制造,5313.16,467.9
600686,金龙汽车,汽车行业,0.0,94.77
600687,刚泰控股,贵金属,47.12,209.0
600688,上海石化,石油行业,11.71,697.7
600689,上海三毛,纺织服装,36.92,34.15
600690,青岛海尔,家电行业,13.92,709.8
600691,阳煤化工,化肥行业,0.0,58.15
600692,亚通股份,港口水运,133.1,62.72
600693,东百集团,商业百货,1038.5,112.2
600694,大商股份,商业百货,14.08,121.6
600695,绿庭投资,多元金融,1356.4,69.98
600696,匹凸匹,房地产,0.0,31.57
600697,欧亚集团,商业百货,19.69,54.66
600698,湖南天雁,交运设备,1273.98,133.9
600699,均胜电子,汽车行业,57.76,310.7
600700,*ST数码,-,0.0,0
600701,工大高新,综合行业,227.13,173.9
600702,沱牌舍得,酿酒行业,111.37,89.32
600703,三安光电,电子元件,32.66,651.3
600704,物产中大,国际贸易,18.76,310.1
600705,中航资本,多元金融,24.45,568.2
600706,曲江文旅,旅游酒店,43.04,37.93
600707,彩虹股份,电子元件,0.0,61.52
600708,光明地产,房地产,44.04,123.0
600709,ST生态,-,0.0,0
600710,*ST常林,专用设备,0.0,0
600711,盛屯矿业,有色金属,56.29,106.1
600712,南宁百货,商业百货,0.0,53.98
600713,南京医药,医药制造,41.92,71.97
600714,金瑞矿业,煤炭采选,31.58,41.12
600715,文投控股,文化传媒,77.13,375.5
600716,凤凰股份,房地产,133.0,69.74
